Semana,Amazon Web Services,Microsoft Azure,Google Cloud
2023-12-10,67,61,23
2023-12-17,65,58,21
2023-12-24,43,35,14
2023-12-31,56,49,18
2024-01-07,69,66,22
2024-01-14,67,65,21
2024-01-21,83,72,25
2024-01-28,100,79,27
2024-02-04,96,77,26
2024-02-11,87,77,24
2024-02-18,81,79,26
2024-02-25,84,78,26
2024-03-03,78,77,26
2024-03-10,76,71,26
2024-03-17,74,76,27
2024-03-24,74,69,25
2024-03-31,77,67,25
2024-04-07,74,69,26
2024-04-14,72,72,26
2024-04-21,74,72,26
2024-04-28,76,64,24
2024-05-05,72,67,24
2024-05-12,79,69,28
2024-05-19,75,72,27
2024-05-26,73,67,26
2024-06-02,76,68,27
2024-06-09,75,74,26
2024-06-16,73,67,25
2024-06-23,70,68,26
2024-06-30,70,61,24
2024-07-07,78,67,26
2024-07-14,77,78,26
2024-07-21,76,70,27
2024-07-28,76,71,26
2024-08-04,73,66,25
2024-08-11,73,63,25
2024-08-18,68,69,27
2024-08-25,71,65,26
2024-09-01,73,66,26
2024-09-08,73,67,26
2024-09-15,73,62,26
2024-09-22,73,67,27
2024-09-29,71,62,24
2024-10-06,72,64,27
2024-10-13,72,65,27
2024-10-20,74,68,26
2024-10-27,64,60,24
2024-11-03,69,60,25
2024-11-10,68,65,26
2024-11-17,70,69,27
2024-11-24,65,61,23
2024-12-01,82,63,26
2024-12-08,63,54,24
