Semana,PostgreSQL,MySQL,SQLite,MongoDB
2023-12-10,60,86,12,35
2023-12-17,58,80,11,37
2023-12-24,40,62,9,25
2023-12-31,44,67,10,30
2024-01-07,60,80,12,36
2024-01-14,65,83,12,36
2024-01-21,65,87,14,38
2024-01-28,74,100,14,41
2024-02-04,73,90,14,39
2024-02-11,69,82,13,40
2024-02-18,73,97,14,42
2024-02-25,73,96,14,40
2024-03-03,70,94,14,41
2024-03-10,72,92,14,39
2024-03-17,72,100,15,41
2024-03-24,68,85,14,38
2024-03-31,69,86,14,40
2024-04-07,68,85,14,37
2024-04-14,71,87,14,38
2024-04-21,72,89,14,39
2024-04-28,59,80,13,38
2024-05-05,64,84,14,38
2024-05-12,72,82,14,39
2024-05-19,70,84,14,35
2024-05-26,64,83,13,38
2024-06-02,65,83,13,37
2024-06-09,65,82,14,36
2024-06-16,64,77,13,34
2024-06-23,62,78,12,34
2024-06-30,62,77,12,35
2024-07-07,67,75,13,36
2024-07-14,65,79,13,39
2024-07-21,66,77,13,36
2024-07-28,63,73,12,35
2024-08-04,63,76,11,36
2024-08-11,59,71,12,33
2024-08-18,65,73,12,34
2024-08-25,64,71,12,34
2024-09-01,63,77,13,34
2024-09-08,64,78,13,35
2024-09-15,63,71,12,32
2024-09-22,69,75,12,35
2024-09-29,65,70,13,32
2024-10-06,65,74,13,33
2024-10-13,64,75,13,32
2024-10-20,67,78,13,35
2024-10-27,63,71,13,30
2024-11-03,60,71,13,32
2024-11-10,64,79,14,34
2024-11-17,67,76,14,36
2024-11-24,63,73,14,32
2024-12-01,64,73,14,33
2024-12-08,55,64,13,32
