Semana,R,SAS,MATLAB,Python
2023-12-10,13,< 1,11,84
2023-12-17,13,< 1,11,77
2023-12-24,11,0,9,59
2023-12-31,11,< 1,10,63
2024-01-07,13,< 1,11,79
2024-01-14,13,< 1,12,83
2024-01-21,14,0,13,87
2024-01-28,16,< 1,14,95
2024-02-04,16,< 1,14,94
2024-02-11,15,< 1,14,93
2024-02-18,16,< 1,14,100
2024-02-25,15,0,15,91
2024-03-03,16,< 1,12,92
2024-03-10,15,< 1,11,97
2024-03-17,15,< 1,12,93
2024-03-24,15,< 1,11,88
2024-03-31,14,< 1,11,86
2024-04-07,15,< 1,11,84
2024-04-14,16,< 1,11,88
2024-04-21,15,< 1,12,87
2024-04-28,15,< 1,10,85
2024-05-05,14,< 1,10,83
2024-05-12,14,< 1,10,84
2024-05-19,13,< 1,10,79
2024-05-26,13,< 1,9,79
2024-06-02,13,< 1,9,81
2024-06-09,13,< 1,8,78
2024-06-16,12,< 1,8,74
2024-06-23,12,< 1,8,73
2024-06-30,12,< 1,7,72
2024-07-07,12,< 1,8,76
2024-07-14,12,< 1,8,78
2024-07-21,12,< 1,8,76
2024-07-28,12,< 1,7,70
2024-08-04,11,< 1,8,71
2024-08-11,11,< 1,7,75
2024-08-18,12,< 1,8,74
2024-08-25,12,< 1,8,76
2024-09-01,13,< 1,9,76
2024-09-08,13,< 1,9,81
2024-09-15,13,< 1,10,77
2024-09-22,13,< 1,10,84
2024-09-29,14,< 1,10,80
2024-10-06,13,< 1,10,81
2024-10-13,13,< 1,11,80
2024-10-20,14,< 1,11,88
2024-10-27,13,< 1,10,73
2024-11-03,12,< 1,11,76
2024-11-10,13,< 1,11,82
2024-11-17,13,< 1,11,83
2024-11-24,13,< 1,10,76
2024-12-01,13,< 1,10,82
2024-12-08,13,< 1,10,81
