Semana,Webflow,"Adalo, Inc",Airtable
2023-12-10,77,3,39
2023-12-17,67,5,36
2023-12-24,53,4,25
2023-12-31,61,5,39
2024-01-07,77,5,43
2024-01-14,84,5,42
2024-01-21,86,5,44
2024-01-28,100,6,52
2024-02-04,95,5,52
2024-02-11,88,4,51
2024-02-18,90,5,48
2024-02-25,100,4,50
2024-03-03,97,3,47
2024-03-10,90,3,49
2024-03-17,92,4,49
2024-03-24,91,4,49
2024-03-31,82,4,43
2024-04-07,86,3,44
2024-04-14,90,3,47
2024-04-21,90,4,46
2024-04-28,83,3,46
2024-05-05,81,2,46
2024-05-12,84,3,45
2024-05-19,84,4,45
2024-05-26,81,3,43
2024-06-02,79,3,45
2024-06-09,77,4,46
2024-06-16,75,1,41
2024-06-23,76,3,40
2024-06-30,73,3,39
2024-07-07,79,4,44
2024-07-14,79,3,48
2024-07-21,77,3,49
2024-07-28,74,4,45
2024-08-04,75,4,49
2024-08-11,77,3,46
2024-08-18,76,4,48
2024-08-25,80,5,43
2024-09-01,80,4,47
2024-09-08,80,6,49
2024-09-15,79,5,47
2024-09-22,81,5,45
2024-09-29,74,4,45
2024-10-06,78,4,48
2024-10-13,84,4,47
2024-10-20,75,5,53
2024-10-27,72,5,51
2024-11-03,71,4,45
2024-11-10,83,5,51
2024-11-17,79,4,53
2024-11-24,79,3,44
2024-12-01,81,6,49
2024-12-08,75,5,45
